HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g22r23-2894-dh2-w03","eth0","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:18","c4:cb:e1:e5:c2:18","16TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.0","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g22r23-2894-dh2-w03","eth1","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:19","c4:cb:e1:e5:c2:19","16TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.1","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g22r23-2894-dh2-w03","eth10","PF","N/A","N/A","N/A","c4:70:bd:78:af:32","c4:70:bd:78:af:32","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:cc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth11","PF","N/A","N/A","N/A","c4:70:bd:78:b5:62","c4:70:bd:78:b5:62","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:dc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth2","PF","N/A","N/A","N/A","c4:70:bd:78:bc:6e","c4:70:bd:78:bc:6e","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:1a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth3","PF","N/A","N/A","N/A","c4:70:bd:78:c3:7a","c4:70:bd:78:c3:7a","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:3c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth4","PF","N/A","N/A","N/A","c4:70:bd:78:b9:82","c4:70:bd:78:b9:82","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:4d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth5","PF","N/A","N/A","N/A","c4:70:bd:78:ae:da","c4:70:bd:78:ae:da","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:5e:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth6","PF","N/A","N/A","N/A","c4:70:bd:78:ae:98","c4:70:bd:78:ae:98","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth7","PF","N/A","N/A","bond0","6a:80:fa:64:fc:e8","5c:25:73:2a:35:c2","16TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth8","PF","N/A","N/A","bond0","6a:80:fa:64:fc:e8","5c:25:73:2a:35:c3","16TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth9","PF","N/A","N/A","N/A","c4:70:bd:78:ad:bc","c4:70:bd:78:ad:bc","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:bc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
